0.00000e+00 3.24243e+01 3.85579e+01 2.62907e+01 3.24243e+01 3.85579e+01 2.62907e+01
1.00000e+00 3.12438e+01 3.81225e+01 2.43650e+01 3.02348e+01 3.61045e+01 2.43650e+01
2.00000e+00 3.10926e+01 3.69740e+01 2.52111e+01 2.96950e+01 3.50249e+01 2.43650e+01
3.00000e+00 2.77449e+01 3.45658e+01 2.09240e+01 2.50980e+01 2.96822e+01 2.05137e+01
4.00000e+00 2.46615e+01 3.22152e+01 1.71077e+01 1.90159e+01 2.26162e+01 1.54155e+01
5.00000e+00 2.13535e+01 2.42821e+01 1.84249e+01 1.69202e+01 1.84249e+01 1.54155e+01
6.00000e+00 1.86949e+01 2.49840e+01 1.24058e+01 1.43209e+01 1.70567e+01 1.15852e+01
7.00000e+00 1.50758e+01 1.95887e+01 1.05629e+01 1.14843e+01 1.38771e+01 9.09149e+00
8.00000e+00 1.32745e+01 1.82485e+01 8.30038e+00 8.49056e+00 1.05629e+01 6.41826e+00
9.00000e+00 1.39965e+01 2.08663e+01 7.12677e+00 5.79873e+00 7.85241e+00 3.74504e+00
1.00000e+01 8.69555e+00 1.15377e+01 5.85339e+00 4.12188e+00 5.12406e+00 3.11970e+00
1.10000e+01 1.29498e+01 1.55825e+01 1.03171e+01 4.12188e+00 5.12406e+00 3.11970e+00
1.20000e+01 1.00688e+01 1.30038e+01 7.13376e+00 2.48531e+00 3.10159e+00 1.86902e+00
1.30000e+01 2.88557e+00 3.28358e+00 2.48757e+00 8.48732e-01 1.07913e+00 6.18334e-01
1.40000e+01 7.32668e+00 1.12794e+01 3.37391e+00 8.48732e-01 1.07913e+00 6.18334e-01
1.50000e+01 7.46394e+00 1.04141e+01 4.51380e+00 8.48732e-01 1.07913e+00 6.18334e-01
1.60000e+01 9.17673e+00 1.21156e+01 6.23783e+00 8.48732e-01 1.07913e+00 6.18334e-01
1.70000e+01 1.23003e+01 1.53798e+01 9.22075e+00 8.48732e-01 1.07913e+00 6.18334e-01
1.80000e+01 1.67881e+01 2.06873e+01 1.28889e+01 8.48732e-01 1.07913e+00 6.18334e-01
1.90000e+01 2.22095e+01 2.65562e+01 1.78627e+01 8.48732e-01 1.07913e+00 6.18334e-01
2.00000e+01 2.02528e+01 2.45221e+01 1.59836e+01 7.27088e-01 9.25795e-01 5.28381e-01
2.10000e+01 2.62678e+01 3.50689e+01 1.74666e+01 7.27088e-01 9.25795e-01 5.28381e-01
2.20000e+01 1.90978e+01 2.89055e+01 9.29017e+00 4.62325e-01 5.90348e-01 3.34301e-01
2.30000e+01 3.75957e+00 7.07113e+00 4.48018e-01 2.17230e-01 2.83679e-01 1.50780e-01
2.40000e+01 1.60438e+01 3.15554e+01 5.32201e-01 1.74279e-01 2.26124e-01 1.22434e-01
