0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
-0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -0.00000e+00
-7.28648e-05 7.28648e-05 -2.43036e-05 -1.89094e-04 -3.54793e-04 -4.99057e-04 -6.16035e-04 -7.05607e-04 -7.69470e-04 -8.09794e-04 -8.28793e-04 -8.28612e-04 -8.11327e-04 -7.78948e-04 -7.33443e-04 -6.76737e-04 -6.10711e-04 -5.37192e-04 -4.57941e-04 -3.74635e-04 -2.88857e-04 -2.02074e-04 -1.15627e-04 -3.07203e-05 5.15893e-05 1.30395e-04 2.04943e-04 2.74631e-04 3.39001e-04 3.97733e-04 4.50625e-04 4.97579e-04 5.38574e-04 5.73636e-04 6.02806e-04 6.26094e-04 6.43437e-04 6.54644e-04 6.59343e-04 6.56925e-04 6.46487e-04 6.26792e-04 5.96235e-04 5.52866e-04 4.94483e-04 4.18910e-04 3.24666e-04 2.12551e-04 8.93834e-05 -2.32765e-05 -7.01457e-05 7.01457e-05
-4.87250e-05 4.87250e-05 -3.22087e-04 -8.45759e-04 -1.37657e-03 -1.85191e-03 -2.24800e-03 -2.55853e-03 -2.78482e-03 -2.93141e-03 -3.00416e-03 -3.00945e-03 -2.95388e-03 -2.84407e-03 -2.68669e-03 -2.48832e-03 -2.25548e-03 -1.99454e-03 -1.71167e-03 -1.41278e-03 -1.10350e-03 -7.89050e-04 -4.74278e-04 -1.63556e-04 1.39225e-04 4.30678e-04 7.07932e-04 9.68627e-04 1.21090e-03 1.43334e-03 1.63496e-03 1.81512e-03 1.97344e-03 2.10972e-03 2.22379e-03 2.31540e-03 2.38407e-03 2.42887e-03 2.44836e-03 2.44031e-03 2.40164e-03 2.32835e-03 2.21546e-03 2.05733e-03 1.84812e-03 1.58305e-03 1.26072e-03 8.87817e-04 4.88128e-04 1.19771e-04 -9.33118e-05 9.33118e-05
1.38237e-04 -1.38237e-04 -9.74827e-04 -2.00489e-03 -3.03241e-03 -3.95945e-03 -4.74164e-03 -5.36281e-03 -5.82128e-03 -6.12267e-03 -6.27632e-03 -6.29345e-03 -6.18626e-03 -5.96746e-03 -5.65004e-03 -5.24705e-03 -4.77147e-03 -4.23611e-03 -3.65341e-03 -3.03541e-03 -2.39354e-03 -1.73856e-03 -1.08045e-03 -4.28326e-04 2.09640e-04 8.26252e-04 1.41532e-03 1.97165e-03 2.49104e-03 2.97017e-03 3.40658e-03 3.79846e-03 4.14458e-03 4.44403e-03 4.69601e-03 4.89957e-03 5.05332e-03 5.15511e-03 5.20175e-03 5.18876e-03 5.11011e-03 4.95822e-03 4.72411e-03 4.39797e-03 3.97044e-03 3.43495e-03 2.79200e-03 2.05669e-03 1.27150e-03 5.27746e-04 5.84972e-08 -5.84974e-08
4.86664e-04 -4.86664e-04 -1.98452e-03 -3.65132e-03 -5.27436e-03 -6.73511e-03 -7.97339e-03 -8.96362e-03 -9.70020e-03 -1.01889e-02 -1.04419e-02 -1.04752e-02 -1.03070e-02 -9.95659e-03 -9.44425e-03 -8.79045e-03 -8.01579e-03 -7.14067e-03 -6.18505e-03 -5.16832e-03 -4.10898e-03 -3.02456e-03 -1.93141e-03 -8.44535e-04 2.22453e-04 1.25747e-03 2.24999e-03 3.19103e-03 4.07315e-03 4.89033e-03 5.63787e-03 6.31214e-03 6.91042e-03 7.43052e-03 7.87048e-03 8.22813e-03 8.50067e-03 8.68425e-03 8.77350e-03 8.76118e-03 8.63798e-03 8.39247e-03 8.01154e-03 7.48141e-03 6.78956e-03 5.92824e-03 4.90021e-03 3.72804e-03 2.46858e-03 1.23466e-03 2.26412e-04 -2.26412e-04
9.73487e-04 -9.73487e-04 -3.31431e-03 -5.73682e-03 -8.03714e-03 -1.00919e-02 -1.18333e-02 -1.32297e-02 -1.42727e-02 -1.49682e-02 -1.53312e-02 -1.53822e-02 -1.51453e-02 -1.46468e-02 -1.39143e-02 -1.29764e-02 -1.18616e-02 -1.05988e-02 -9.21609e-03 -7.74090e-03 -6.19965e-03 -4.61740e-03 -3.01770e-03 -1.42232e-03 1.48882e-04 1.67809e-03 3.14959e-03 4.54983e-03 5.86732e-03 7.09259e-03 8.21795e-03 9.23728e-03 1.01457e-02 1.09391e-02 1.16139e-02 1.21660e-02 1.25908e-02 1.28824e-02 1.30328e-02 1.30317e-02 1.28664e-02 1.25217e-02 1.19803e-02 1.12247e-02 1.02393e-02 9.01505e-03 7.55560e-03 5.88761e-03 4.07488e-03 2.23819e-03 5.80833e-04 -5.80833e-04
1.57105e-03 -1.57105e-03 -4.91196e-03 -8.19584e-03 -1.12436e-02 -1.39397e-02 -1.62171e-02 -1.80430e-02 -1.94087e-02 -2.03212e-02 -2.07987e-02 -2.08663e-02 -2.05540e-02 -1.98949e-02 -1.89243e-02 -1.76787e-02 -1.61951e-02 -1.45107e-02 -1.26621e-02 -1.06854e-02 -8.61499e-03 -6.48414e-03 -4.32398e-03 -2.16361e-03 -2.96900e-05 2.05361e-03 4.06478e-03 5.98500e-03 7.79811e-03 9.49047e-03 1.10508e-02 1.24697e-02 1.37396e-02 1.48539e-02 1.58065e-02 1.65913e-02 1.72013e-02 1.76279e-02 1.78605e-02 1.78856e-02 1.76868e-02 1.72451e-02 1.65393e-02 1.55480e-02 1.42524e-02 1.26407e-02 1.07152e-02 8.50185e-03 6.06352e-03 3.51644e-03 1.05036e-03 -1.05036e-03
2.25304e-03 -2.25304e-03 -6.72196e-03 -1.09566e-02 -1.48111e-02 -1.81865e-02 -2.10236e-02 -2.32934e-02 -2.49899e-02 -2.61233e-02 -2.67155e-02 -2.67967e-02 -2.64028e-02 -2.55740e-02 -2.43529e-02 -2.27839e-02 -2.09124e-02 -1.87839e-02 -1.64437e-02 -1.39361e-02 -1.13042e-02 -8.58907e-03 -5.82992e-03 -3.06334e-03 -3.23194e-04 2.35965e-03 4.95743e-03 7.44559e-03 9.80272e-03 1.20105e-02 1.40533e-02 1.59182e-02 1.75940e-02 1.90712e-02 2.03407e-02 2.13937e-02 2.22204e-02 2.28093e-02 2.31468e-02 2.32160e-02 2.29970e-02 2.24668e-02 2.16000e-02 2.03712e-02 1.87572e-02 1.67422e-02 1.43240e-02 1.15230e-02 8.39352e-03 5.03742e-03 1.61919e-03 -1.61919e-03
2.99625e-03 -2.99625e-03 -8.69120e-03 -1.39478e-02 -1.86565e-02 -2.27407e-02 -2.61542e-02 -2.88762e-02 -3.09065e-02 -3.22602e-02 -3.29645e-02 -3.30552e-02 -3.25746e-02 -3.15695e-02 -3.00900e-02 -2.81884e-02 -2.59180e-02 -2.33326e-02 -2.04856e-02 -1.74297e-02 -1.42162e-02 -1.08944e-02 -7.51116e-03 -4.11076e-03 -7.34319e-04 2.58036e-03 5.79902e-03 8.89101e-03 1.18293e-02 1.45905e-02 1.71542e-02 1.95031e-02 2.16222e-02 2.34982e-02 2.51190e-02 2.64723e-02 2.75453e-02 2.83232e-02 2.87890e-02 2.89223e-02 2.86994e-02 2.80932e-02 2.70740e-02 2.56114e-02 2.36772e-02 2.12492e-02 1.83178e-02 1.48934e-02 1.10154e-02 6.76401e-03 2.27068e-03 -2.27068e-03
